Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
"Vaagen Bros. Lumber, Inc. - Colville",2016,Wood Products,Lumber Mills,321999,All Other Miscellaneous Wood Product Manufacturing,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,41269,40723,3,78,466,0,0,0,0,,2,"48.548525, -117.915469",,,POINT (-117.915469 48.548525)
REC Solar Grade Silicon - Moses Lake,2016,Metals,Other Metals,331410,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,59434,0,59373,28,33,0,0,0,0,,2,"47.138359, -119.200383",,,POINT (-119.200383 47.138359)
Sierra Pacific Industries - Shelton,2017,Wood Products,Lumber Mills,321212,Softwood Veneer and Plywood Manufacturing,Simpson Lumber Company LLC,Shelton,Mason,Olympic Region Clean Air Agency,33615,32884,291,63,376,0,0,0,0,,2,"47.213448, -123.096517",,,POINT (-123.096517 47.213448)
Northwest Pipeline Willard C/S - Cook,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,27866,0,23744,4109,13,0,0,0,0,,2,"45.778087, -121.626311",,,POINT (-121.626311 45.778087)
University of Washington Seattle Campus - Seattle,2020,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,86980,0,86890,41,49,0,0,0,0,,2,"47.653614, -122.303608",,,POINT (-122.303608 47.653614)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,4654,0,4649,2,3,0,0,0,0,,1,"48.885475, -122.724299",,,POINT (-122.724299 48.885475)
Central Washington University - Ellensburg,2018,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13485,0,13471,7,8,0,0,0,0,,1,"47.003202, -120.544513",,,POINT (-120.544513 47.003202)
NW Natural - supplier,2022,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,NW Natural Holding Company,Portland,Multnomah,,531894,1,531349,248,296,0,0,0,0,,,,,,
Milne Fruit Products - Prosser,2021,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Milne Fruit Products,Prosser,Benton,Benton Clean Air Agency,8939,0,8929,4,5,0,0,0,0,,1,"46.202562, -119.775527",,,POINT (-119.775527 46.202562)
Port Townsend Paper Corporation - Port Townsend,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Port Townsend Paper Corp.,Port Townsend,Jefferson,Ecology: Industrial Section,602488,547591,49839,2465,2594,0,0,0,0,,3,"48.093793, -122.796806",,,POINT (-122.796806 48.093793)
Lamb Weston - Connell,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,37212,0,37174,18,21,0,0,0,0,,2,"46.651389, -118.871944",,,POINT (-118.871944 46.651389)
Sierra Pacific Industries - Burlington - Mount Vernon,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,307168,301371,1771,579,3448,0,0,0,0,,3,"48.448553, -122.434613",,,POINT (-122.434613 48.448553)
Ash Grove Cement Company - Seattle,2013,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,355314,0,354536,294,484,0,0,0,0,,3,"47.56799, -122.34255",,,POINT (-122.34255 47.56799)
Grant County Landfill 1 - Ephrata,2021,Waste,Landfills,562212,Solid Waste Landfill,Grant County Washington,Ephrata,Grant,Ecology: Eastern Regional Office,45269,0,0,45269,0,0,0,0,0,,2,"47.270759, -119.573764",,,POINT (-119.573764 47.270759)
Fairchild AFB - Spokane Co.,2012,Government,National Security,928110,National Security,US Government,Fairchild Air Force Base,Spokane,Spokane Regional Clean Air Agency,13693,0,13679,7,8,0,0,0,0,,1,"47.641332, -117.644832",,,POINT (-117.644832 47.641332)
Naval Air Station Whidbey Island - Oak Harbor,2012,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,17880,0,17861,9,10,0,0,0,0,,1,"48.345281, -122.669741",,,POINT (-122.669741 48.345281)
NGL Energy Partners LP,2023,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),NGL Energy Partners LP,Tulsa,Tulsa,,31881,0,31753,38,90,0,0,0,0,,,,31881,Covered Entity,
Northwest Pipeline Roosevelt C/S - Bickleton,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,22628,0,19805,2812,11,0,0,0,0,,1,"45.849504, -120.08083",,,POINT (-120.08083 45.849504)
Cascade Natural Gas Corporation LDC - statewide,2020,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,23564,0,453,23111,0,0,0,0,0,,1,"46.21875, -119.22987",,,POINT (-119.22987 46.21875)
City of Enumclaw Gas Utility - supplier,2018,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Enumclaw,Enumclaw,King,,22964,0,22940,11,13,0,0,0,0,,,,,,
CertainTeed Gypsum - Seattle,2020,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,49936,0,49885,24,28,0,0,0,0,,2,"47.548056, -122.336944",,,POINT (-122.336944 47.548056)
Inland Empire Paper Company - Spokane,2022,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,37290,19825,17183,46,237,0,0,0,0,,2,"47.688295, -117.279323",,,POINT (-117.279323 47.688295)
Cathcart Landfill - Snohomish,2012,Waste,Landfills,562212,Solid Waste Landfill,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,27653,0,288,27365,0,0,0,0,0,,2,"47.870014, -122.118284",,,POINT (-122.118284 47.870014)
Northwest Pipeline C/S - Mount Vernon,2022,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,63441,0,61506,1901,35,0,0,0,0,,2,"48.421967, -122.21547",,,POINT (-122.21547 48.421967)
Puget Sound Energy LDC Facility - Bellevue,2013,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,61069,0,74,60996,0,0,0,0,0,,2,"47.61345, -122.19454",,,POINT (-122.19454 47.61345)
"WestRock CP, LLC - Tacoma",2019,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1087848,958705,123204,1074,4865,0,0,0,0,,4,"47.260953, -122.421765",,,POINT (-122.421765 47.260953)
Tree Top - Wenatchee,2019,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,10135,0,10125,5,6,0,0,0,0,,1,"47.48938, -120.31426",,,POINT (-120.31426 47.48938)
Colvin Oil I LLC - Josephine,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Colvin Oil I LLC,Grants Pass,Josephine,,58162,3735,53490,76,861,0,0,0,0,,,,,,
McKinley Paper Co. - Washington Mill - Port Angeles,2022,Pulp and Paper,Other Pulp and Paper,322121,Paper (except Newsprint) Mills,McKinley Paper Co.,Port Angeles,Clallam,Olympic Region Clean Air Agency,159597,153038,699,4108,1752,0,0,0,0,,3,"48.134623, -123.467524",,,POINT (-123.467524 48.134623)
J.R. Simplot Company - Othello,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,87106,0,45908,41173,26,0,0,0,0,,2,"46.837778, -119.176389",,,POINT (-119.176389 46.837778)
"Gas Transmission Northwest Compressor Station 6, LLC - Rosalia",2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Spokane Regional Clean Air Agency,105918,0,105673,185,59,0,0,0,0,,3,"47.277256, -117.406737",,,POINT (-117.406737 47.277256)
Murphy Veneer - Elma,2015,Wood Products,Other Wood Products,321212,Softwood Veneer and Plywood Manufacturing,Murphy Co.,Elma,Grays Harbor,Olympic Region Clean Air Agency,10964,0,10952,5,6,0,0,0,0,,1,"47.040323, -123.334339",,,POINT (-123.334339 47.040323)
"Interfor US, Inc. - Forks",2014,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Interfor US Inc.,Forks,Clallam,Olympic Region Clean Air Agency,13318,13143,0,25,150,0,0,0,0,Last year reporting.  Facility shut down.,1,"47.971946, -124.399193",,,POINT (-124.399193 47.971946)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2013,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,110966,0,110852,52,62,0,0,0,0,,3,"47.687074, -117.212673",,,POINT (-117.212673 47.687074)
U.S. Department of Energy Hanford Site - Richland,2022,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,29924,0,21243,8634,47,0,0,0,0,,2,"46.55069, -119.489007",,,POINT (-119.489007 46.55069)
Frederickson Power LP - Tacoma,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,352422,0,352064,163,195,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
Terrace Heights Landfill - Yakima,2014,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,107008,0,29,106980,0,0,0,0,0,,3,"46.610031, -120.39408",,,POINT (-120.39408 46.610031)
Western Washington University - Bellingham,2013,Government,Education,611310,"Colleges, Universities, and Professional Schools",Western Washington University,Bellingham,Whatcom,Northwest Clean Air Agency,11668,0,11656,6,7,0,0,0,0,,1,"48.736499, -122.484714",,,POINT (-122.484714 48.736499)
US Army Joint Base Lewis-McChord - Pierce Co.,2016,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,75889,0,56118,19738,33,0,0,0,0,,2,"47.1142, -122.5365",,,POINT (-122.5365 47.1142)
"Gas Transmission Northwest Compressor Station 8, LLC -Wallula",2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,87757,0,86238,1470,48,0,0,0,0,,2,"46.053153, -118.843934",,,POINT (-118.843934 46.053153)
Portland General Electric Company - Portland,2023,Power,IOU,2211,"Electric Power Generation, Transmission and Distribution",Portland General Electric Company,Portland,Multnomah,,107381,,,,,,,,,,,,,Reporter,
City of Tacoma Solid Waste Facility - Tacoma,2018,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,12797,0,0,12797,0,0,0,0,0,,1,"47.223413, -122.499775",,,POINT (-122.499775 47.223413)
"Tyson Fresh Meats, Inc. - Wallula",2014,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,77161,0,21368,55781,12,0,0,0,0,,2,"46.137521, -118.913051",,,POINT (-118.913051 46.137521)
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2019,Wood Products,Other Wood Products,321219,Reconstituted Wood Product Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,73603,56367,16466,116,654,0,0,0,0,,2,"48.613175, -118.116106",,,POINT (-118.116106 48.613175)
Northwest Pipeline C/S - Sumas,2014,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,82830,0,78811,3975,44,0,0,0,0,,2,"49.001, -122.2214",,,POINT (-122.2214 49.001)
Air Liquide Hydrogen Plant  - Anacortes,2023,Petroleum Systems,Other Petroleum Systems,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Anacortes,Skagit,Northwest Clean Air Agency,72277,0,72277,0,0,0,0,0,0,,2,"48.465617, -122.556032",72277,Covered Entity,POINT (-122.556032 48.465617)
Grays Harbor Energy Center - Elma,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Invenergy Investment Company LLC,Elma,Grays Harbor,EFSEC,1107991,0,1106866,513,612,0,0,0,0,,4,"46.9688, -123.48",,,POINT (-123.48 46.9688)
Keyes Fibre Corporation - Wenatchee,2023,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,12427,0,12414,6,7,0,0,0,0,,1,"47.485987, -120.316363",,Reporter,POINT (-120.316363 47.485987)
Okanogan County Central Landfill - Okanogan,2022,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,17014,0,0,17014,0,0,0,0,0,,1,"48.341148, -119.620109",,,POINT (-119.620109 48.341148)
Cowlitz County Headquarters Landfill - Castle Rock,2012,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,121597,659,0,120936,2,0,0,0,0,,3,"46.246902, -122.772284",,,POINT (-122.772284 46.246902)
Alcoa Intalco Works - Ferndale,2021,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,9411,0,1188,8222,1,0,0,0,0,Curtailed mid 2020.,1,"48.8455, -122.7055",,,POINT (-122.7055 48.8455)
Sonoco Products - Sumner,2016,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,13941,0,13927,7,8,0,0,0,0,,1,"47.210641, -122.239474",,,POINT (-122.239474 47.210641)
Lamb Weston - Warden,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,18099,0,18081,9,10,0,0,0,0,,1,"46.971504, -119.055427",,,POINT (-119.055427 46.971504)
DH Feeders - Eltopia,2012,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,14673,0,673,1069,12932,0,0,0,0,,1,"46.50919, -118.881203",,,POINT (-118.881203 46.50919)
Puget Sound Energy LDC Facility - Bellevue,2021,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,64596,0,1327,63268,1,0,0,0,0,,2,"47.61345, -122.19454",,,POINT (-122.19454 47.61345)
Northwest Hardwoods Inc. - Centralia,2013,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,12987,6470,6424,16,77,0,0,0,0,,1,"46.734454, -122.991963",,,POINT (-122.991963 46.734454)
J.R. Simplot Company - Othello,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,93771,0,44371,49376,25,0,0,0,0,,2,"46.837778, -119.176389",,,POINT (-119.176389 46.837778)
Darigold - Sunnyside,2015,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,21372,0,21349,10,12,0,0,0,0,,1,"46.30058, -120.015675",,,POINT (-120.015675 46.30058)
HF Sinclair Refining and Marketing LLC - Dallas,2023,Supplier,Other Fuel Supplier,324110,Petroleum Refineries,HF Sinclair Refining & Marketing LLC,Dallas,Dallas,,3467175,128378,3302142,3116,33539,0,0,0,0,,,,3124379,Covered Entity,
Lamb Weston - Connell,2021,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,32423,0,32390,15,18,0,0,0,0,,2,"46.651389, -118.871944",,,POINT (-118.871944 46.651389)
Boulder Park Generating Station - Spokane Valley,2020,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,23578,0,23554,11,13,0,0,0,0,,1,"47.696999, -117.147223",,,POINT (-117.147223 47.696999)
Lamb Weston - Warden,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,18987,0,18968,9,11,0,0,0,0,,1,"46.971504, -119.055427",,,POINT (-119.055427 46.971504)
Georgia-Pacific Gypsum LLC - Tacoma,2016,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,48825,0,48775,23,27,0,0,0,0,,2,"47.269558, -122.394869",,,POINT (-122.394869 47.269558)
Avista Corporation - supplier,2021,Supplier,Natural Gas Supplier,,,Avista Corporation,Spokane,Spokane,,1063283,0,1062186,500,597,0,0,0,0,,,,,,
Northwest Pipeline C/S - Chehalis,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,29670,0,28001,1653,16,0,0,0,0,,2,"46.533325, -122.87373",,,POINT (-122.87373 46.533325)
J.R. Simplot Company - Moses Lake,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,34886,3790,26871,4197,29,0,0,0,0,,2,"47.131732, -119.18926",,,POINT (-119.18926 47.131732)
Boulder Park Generating Station - Spokane Valley,2014,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,7552,0,7544,4,4,0,0,0,0,,1,"47.696999, -117.147223",,,POINT (-117.147223 47.696999)
Northwest Pipeline C/S - Sumner,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,37486,0,36678,787,21,0,0,0,0,,2,"47.228986, -122.209551",,,POINT (-122.209551 47.228986)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2017,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,54397,53680,0,103,614,0,0,0,0,,2,"48.609799, -118.067441",,,POINT (-118.067441 48.609799)
Lamb Weston - Richland,2012,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,34603,0,34567,16,19,0,0,0,0,,2,"46.309314, -119.297267",,,POINT (-119.297267 46.309314)
Musket Corporation - Houston,2023,Supplier,Other Fuel Supplier,457120,Other Gasoline Stations,Love s Travel Stop,Houston,Harris,,77075,58224,18732,16,103,0,0,0,0,,,,,Reporter,
WestRock LLC - Longview,2012,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1672199,1451139,187079,11879,22103,0,0,0,0,,4,"46.10361, -122.92167",,,POINT (-122.92167 46.10361)
